x1,x2,x3
20.0,20.0,20.0
20.0,20.0,20.0
20.0,440.0,20.0
40.0,20.0,40.0
80.0,480.0,80.0
40.0,240.0,40.0
20.0,20.0,20.0
20.0,20.0,20.0
40.0,360.0,40.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,0.0,20.0
20.0,20.0,20.0
40.0,480.0,40.0
60.0,140.0,60.0
600.0,0.0,600.0
80.0,0.0,80.0
20.0,120.0,20.0
20.0,60.0,20.0
60.0,100.0,60.0
60.0,0.0,60.0
40.0,240.0,40.0
280.0,280.0,280.0
60.0,100.0,60.0
20.0,20.0,20.0
20.0,240.0,20.0
40.0,0.0,40.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,480.0,20.0
100.0,0.0,100.0
80.0,0.0,80.0
100.0,0.0,100.0
40.0,0.0,40.0
60.0,20.0,60.0
60.0,0.0,60.0
20.0,40.0,20.0
240.0,140.0,240.0
40.0,0.0,40.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,0.0,20.0
100.0,120.0,100.0
20.0,160.0,20.0
20.0,40.0,20.0
20.0,180.0,20.0
20.0,20.0,20.0
60.0,0.0,60.0
40.0,0.0,40.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
40.0,0.0,40.0
20.0,580.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
80.0,360.0,80.0
140.0,0.0,140.0
20.0,20.0,20.0
40.0,0.0,40.0
20.0,40.0,20.0
20.0,420.0,20.0
600.0,0.0,600.0
100.0,0.0,100.0
240.0,560.0,240.0
20.0,400.0,20.0
20.0,20.0,20.0
40.0,440.0,40.0
20.0,20.0,20.0
520.0,0.0,520.0
40.0,260.0,40.0
40.0,320.0,40.0
20.0,300.0,20.0
40.0,180.0,40.0
20.0,540.0,20.0
20.0,20.0,20.0
60.0,100.0,60.0
40.0,200.0,40.0
80.0,0.0,80.0
40.0,180.0,40.0
40.0,320.0,40.0
20.0,460.0,20.0
20.0,140.0,20.0
20.0,0.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,80.0,20.0
120.0,0.0,120.0
40.0,0.0,40.0
20.0,20.0,20.0
120.0,80.0,120.0
20.0,0.0,20.0
20.0,100.0,20.0
540.0,0.0,540.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
40.0,40.0,40.0
20.0,20.0,20.0
280.0,300.0,280.0
20.0,100.0,20.0
120.0,0.0,120.0
20.0,40.0,20.0
80.0,80.0,80.0
40.0,180.0,40.0
20.0,320.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,40.0,20.0
340.0,60.0,340.0
20.0,100.0,20.0
60.0,0.0,60.0
280.0,280.0,280.0
20.0,80.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,0.0,20.0
20.0,20.0,20.0
20.0,60.0,20.0
20.0,20.0,20.0
60.0,60.0,60.0
340.0,340.0,340.0
60.0,60.0,60.0
100.0,80.0,100.0
520.0,480.0,520.0
20.0,20.0,20.0
20.0,20.0,20.0
200.0,360.0,200.0
20.0,0.0,20.0
200.0,0.0,200.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,180.0,20.0
20.0,600.0,20.0
20.0,20.0,20.0
280.0,500.0,280.0
20.0,20.0,20.0
20.0,120.0,20.0
120.0,260.0,120.0
220.0,0.0,220.0
20.0,20.0,20.0
20.0,60.0,20.0
20.0,20.0,20.0
240.0,160.0,240.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,40.0,20.0
20.0,20.0,20.0
220.0,400.0,220.0
20.0,40.0,20.0
20.0,160.0,20.0
20.0,20.0,20.0
20.0,0.0,20.0
40.0,460.0,40.0
20.0,380.0,20.0
40.0,80.0,40.0
80.0,140.0,80.0
40.0,260.0,40.0
60.0,0.0,60.0
120.0,440.0,120.0
140.0,0.0,140.0
100.0,0.0,100.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
100.0,0.0,100.0
20.0,20.0,20.0
