x1,x2,x3
20.0,60.0,20.0
20.0,80.0,20.0
40.0,620.0,40.0
60.0,60.0,60.0
200.0,300.0,200.0
120.0,340.0,120.0
20.0,20.0,20.0
20.0,40.0,20.0
160.0,680.0,160.0
20.0,20.0,20.0
20.0,40.0,20.0
120.0,0.0,120.0
20.0,120.0,20.0
60.0,700.0,60.0
40.0,260.0,40.0
580.0,400.0,580.0
40.0,660.0,40.0
120.0,0.0,120.0
20.0,20.0,20.0
60.0,340.0,60.0
140.0,600.0,140.0
260.0,0.0,260.0
0.0,0.0,0.0
120.0,0.0,120.0
20.0,80.0,20.0
60.0,280.0,60.0
40.0,800.0,40.0
20.0,60.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
40.0,660.0,40.0
220.0,0.0,220.0
60.0,460.0,60.0
320.0,0.0,320.0
100.0,660.0,100.0
180.0,620.0,180.0
60.0,0.0,60.0
20.0,20.0,20.0
60.0,420.0,60.0
60.0,560.0,60.0
20.0,20.0,20.0
20.0,20.0,20.0
100.0,420.0,100.0
0.0,0.0,0.0
40.0,560.0,40.0
60.0,80.0,60.0
40.0,260.0,40.0
20.0,40.0,20.0
80.0,160.0,80.0
440.0,0.0,440.0
40.0,300.0,40.0
20.0,140.0,20.0
20.0,40.0,20.0
140.0,0.0,140.0
80.0,240.0,80.0
40.0,120.0,40.0
20.0,60.0,20.0
80.0,420.0,80.0
60.0,460.0,60.0
20.0,20.0,20.0
160.0,0.0,160.0
20.0,20.0,20.0
40.0,320.0,40.0
160.0,0.0,160.0
100.0,520.0,100.0
180.0,720.0,180.0
40.0,60.0,40.0
20.0,40.0,20.0
260.0,120.0,260.0
20.0,20.0,20.0
460.0,0.0,460.0
60.0,340.0,60.0
60.0,680.0,60.0
60.0,280.0,60.0
140.0,400.0,140.0
100.0,220.0,100.0
20.0,20.0,20.0
40.0,60.0,40.0
40.0,140.0,40.0
120.0,0.0,120.0
80.0,140.0,80.0
240.0,260.0,240.0
360.0,0.0,360.0
80.0,740.0,80.0
40.0,340.0,40.0
20.0,20.0,20.0
20.0,100.0,20.0
20.0,440.0,20.0
800.0,0.0,800.0
60.0,140.0,60.0
20.0,20.0,20.0
160.0,300.0,160.0
100.0,0.0,100.0
60.0,620.0,60.0
480.0,0.0,480.0
20.0,20.0,20.0
20.0,100.0,20.0
20.0,20.0,20.0
100.0,0.0,100.0
20.0,40.0,20.0
120.0,0.0,120.0
80.0,380.0,80.0
60.0,260.0,60.0
20.0,40.0,20.0
300.0,0.0,300.0
80.0,300.0,80.0
260.0,260.0,260.0
20.0,40.0,20.0
20.0,20.0,20.0
20.0,120.0,20.0
160.0,0.0,160.0
40.0,560.0,40.0
420.0,0.0,420.0
60.0,340.0,60.0
20.0,40.0,20.0
20.0,100.0,20.0
20.0,20.0,20.0
180.0,0.0,180.0
20.0,20.0,20.0
100.0,540.0,100.0
20.0,40.0,20.0
20.0,280.0,20.0
680.0,0.0,680.0
400.0,580.0,400.0
80.0,400.0,80.0
420.0,0.0,420.0
20.0,20.0,20.0
20.0,40.0,20.0
240.0,0.0,240.0
140.0,220.0,140.0
600.0,0.0,600.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
260.0,0.0,260.0
140.0,0.0,140.0
20.0,180.0,20.0
660.0,660.0,660.0
20.0,20.0,20.0
20.0,20.0,20.0
0.0,0.0,0.0
340.0,0.0,340.0
80.0,780.0,80.0
60.0,500.0,60.0
20.0,40.0,20.0
560.0,0.0,560.0
40.0,240.0,40.0
20.0,20.0,20.0
20.0,80.0,20.0
20.0,20.0,20.0
200.0,0.0,200.0
20.0,60.0,20.0
40.0,420.0,40.0
20.0,20.0,20.0
0.0,0.0,0.0
160.0,520.0,160.0
40.0,780.0,40.0
40.0,140.0,40.0
100.0,500.0,100.0
60.0,0.0,60.0
100.0,500.0,100.0
140.0,0.0,140.0
60.0,280.0,60.0
60.0,200.0,60.0
20.0,40.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
100.0,0.0,100.0
160.0,0.0,160.0
20.0,20.0,20.0
120.0,780.0,120.0
180.0,200.0,180.0
20.0,60.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
140.0,0.0,140.0
80.0,740.0,80.0
220.0,700.0,220.0
200.0,0.0,200.0
140.0,440.0,140.0
380.0,220.0,380.0
200.0,0.0,200.0
300.0,0.0,300.0
200.0,540.0,200.0
20.0,120.0,20.0
20.0,280.0,20.0
20.0,60.0,20.0
60.0,300.0,60.0
440.0,740.0,440.0
240.0,0.0,240.0
420.0,0.0,420.0
140.0,0.0,140.0
20.0,20.0,20.0
40.0,140.0,40.0
40.0,360.0,40.0
80.0,740.0,80.0
60.0,380.0,60.0
60.0,320.0,60.0
240.0,0.0,240.0
80.0,400.0,80.0
220.0,60.0,220.0
20.0,120.0,20.0
260.0,0.0,260.0
80.0,0.0,80.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
40.0,320.0,40.0
120.0,260.0,120.0
20.0,40.0,20.0
40.0,200.0,40.0
60.0,500.0,60.0
80.0,780.0,80.0
60.0,0.0,60.0
40.0,380.0,40.0
20.0,20.0,20.0
20.0,80.0,20.0
40.0,720.0,40.0
20.0,40.0,20.0
20.0,20.0,20.0
20.0,20.0,20.0
180.0,0.0,180.0
20.0,20.0,20.0
180.0,40.0,180.0
140.0,0.0,140.0
20.0,20.0,20.0
40.0,320.0,40.0
140.0,600.0,140.0
60.0,80.0,60.0
20.0,40.0,20.0
140.0,0.0,140.0
20.0,40.0,20.0
80.0,360.0,80.0
60.0,400.0,60.0
80.0,380.0,80.0
20.0,40.0,20.0
20.0,40.0,20.0
20.0,20.0,20.0
120.0,0.0,120.0
20.0,100.0,20.0
60.0,160.0,60.0
180.0,320.0,180.0
60.0,440.0,60.0
20.0,20.0,20.0
160.0,680.0,160.0
60.0,780.0,60.0
40.0,280.0,40.0
60.0,460.0,60.0
40.0,440.0,40.0
20.0,20.0,20.0
60.0,380.0,60.0
20.0,60.0,20.0
60.0,240.0,60.0
20.0,20.0,20.0
20.0,200.0,20.0
20.0,40.0,20.0
260.0,720.0,260.0
40.0,640.0,40.0
20.0,80.0,20.0
180.0,580.0,180.0
20.0,20.0,20.0
240.0,0.0,240.0
280.0,420.0,280.0
20.0,40.0,20.0
40.0,220.0,40.0
140.0,680.0,140.0
60.0,0.0,60.0
80.0,0.0,80.0
160.0,0.0,160.0
20.0,20.0,20.0
520.0,0.0,520.0
120.0,360.0,120.0
20.0,20.0,20.0
140.0,360.0,140.0
20.0,100.0,20.0
80.0,0.0,80.0
80.0,0.0,80.0
20.0,60.0,20.0
60.0,0.0,60.0
20.0,60.0,20.0
100.0,440.0,100.0
20.0,60.0,20.0
60.0,0.0,60.0
20.0,40.0,20.0
140.0,0.0,140.0
40.0,300.0,40.0
20.0,20.0,20.0
40.0,0.0,40.0
100.0,0.0,100.0
20.0,40.0,20.0
140.0,140.0,140.0
20.0,60.0,20.0
100.0,0.0,100.0
20.0,20.0,20.0
80.0,220.0,80.0
20.0,20.0,20.0
20.0,160.0,20.0
300.0,740.0,300.0
60.0,60.0,60.0
20.0,20.0,20.0
100.0,340.0,100.0
200.0,0.0,200.0
40.0,500.0,40.0
20.0,40.0,20.0
40.0,80.0,40.0
20.0,20.0,20.0
200.0,280.0,200.0
40.0,200.0,40.0
20.0,60.0,20.0
120.0,0.0,120.0
20.0,40.0,20.0
500.0,0.0,500.0
20.0,20.0,20.0
80.0,800.0,80.0
20.0,20.0,20.0
120.0,560.0,120.0
80.0,0.0,80.0
20.0,20.0,20.0
220.0,0.0,220.0
60.0,760.0,60.0
240.0,0.0,240.0
80.0,580.0,80.0
100.0,580.0,100.0
0.0,0.0,0.0
60.0,0.0,60.0
20.0,20.0,20.0
80.0,380.0,80.0
40.0,420.0,40.0
20.0,20.0,20.0
80.0,300.0,80.0
20.0,20.0,20.0
20.0,20.0,20.0
100.0,520.0,100.0
120.0,0.0,120.0
180.0,0.0,180.0
120.0,580.0,120.0
0.0,0.0,0.0
20.0,20.0,20.0
100.0,420.0,100.0
0.0,0.0,0.0
40.0,240.0,40.0
20.0,40.0,20.0
140.0,500.0,140.0
260.0,0.0,260.0
160.0,0.0,160.0
80.0,260.0,80.0
100.0,160.0,100.0
20.0,80.0,20.0
60.0,20.0,60.0
20.0,20.0,20.0
40.0,160.0,40.0
80.0,200.0,80.0
160.0,640.0,160.0
240.0,600.0,240.0
40.0,520.0,40.0
120.0,740.0,120.0
20.0,20.0,20.0
40.0,200.0,40.0
480.0,0.0,480.0
20.0,20.0,20.0
580.0,0.0,580.0
100.0,220.0,100.0
180.0,0.0,180.0
20.0,140.0,20.0
60.0,240.0,60.0
