x1,x2,x3
20.0,0.0,0.0
20.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
40.0,0.0,0.0
100.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
80.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
320.0,0.0,0.0
40.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
100.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
240.0,0.0,0.0
20.0,0.0,0.0
60.0,0.0,0.0
20.0,0.0,20.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
40.0,0.0,0.0
80.0,0.0,0.0
60.0,0.0,0.0
100.0,0.0,0.0
340.0,0.0,0.0
60.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,20.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
60.0,0.0,0.0
100.0,0.0,0.0
80.0,0.0,0.0
20.0,360.0,20.0
20.0,0.0,0.0
20.0,0.0,0.0
120.0,0.0,0.0
40.0,0.0,0.0
20.0,20.0,20.0
20.0,0.0,0.0
20.0,20.0,20.0
80.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,20.0,20.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
60.0,0.0,0.0
20.0,0.0,0.0
40.0,80.0,40.0
640.0,0.0,0.0
40.0,0.0,0.0
100.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
180.0,420.0,180.0
20.0,0.0,0.0
100.0,0.0,0.0
20.0,0.0,0.0
220.0,0.0,0.0
40.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
340.0,280.0,340.0
20.0,0.0,0.0
100.0,0.0,0.0
20.0,240.0,20.0
20.0,0.0,0.0
100.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,20.0,20.0
20.0,20.0,20.0
20.0,0.0,0.0
380.0,0.0,0.0
60.0,0.0,0.0
20.0,0.0,0.0
160.0,0.0,0.0
140.0,0.0,0.0
20.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
40.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
100.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
20.0,0.0,0.0
80.0,0.0,0.0
20.0,0.0,0.0
240.0,0.0,0.0
