x1,x2,x3
0.0,0.0,0.0
0.0,0.0,0.0
1.28,1.42,0.6
0.0,0.0,0.0
0.6,0.26,0.42
1.24,1.76,0.72
0.0,0.0,0.0
0.0,0.0,0.0
2.18,1.42,1.76
0.0,0.0,0.0
0.0,0.0,0.0
4.08,1.8,2.9
0.0,0.0,0.0
0.56,0.28,0.2
1.14,0.56,0.42
2.18,0.88,1.32
0.0,0.0,0.0
0.96,1.7,0.48
0.0,0.0,0.0
0.0,0.0,0.0
1.86,1.0,1.4
0.66,0.14,0.5
1.8,1.06,0.32
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.46,0.46,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.14,0.62,0.0
0.0,0.0,0.0
0.18,0.6,0.16
4.08,1.8,2.9
1.54,1.44,0.8
0.0,0.0,0.0
0.48,2.2,0.38
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.42,1.4,1.16
2.88,0.48,1.48
0.0,0.0,0.0
0.64,0.64,0.3
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.58,0.66,0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
4.16,1.56,2.44
0.64,0.6,0.06
0.0,0.0,0.0
0.0,0.0,0.0
0.12,0.02,0.02
1.2,1.32,0.6
0.0,0.0,0.0
2.2,1.18,1.1
0.0,0.0,0.0
0.0,0.0,0.0
1.58,0.66,0.2
0.56,0.36,0.3
2.48,1.02,2.24
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.84,0.22,0.06
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.12,0.02,0.02
0.14,0.08,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
4.28,2.46,3.58
0.0,0.0,0.0
0.04,0.22,0.0
2.2,1.18,1.1
0.16,2.42,0.0
0.12,0.36,0.06
0.0,0.06,0.0
0.0,0.0,0.0
0.26,0.28,0.08
3.24,2.1,2.64
0.08,0.16,0.08
0.0,0.0,0.0
0.0,0.14,0.0
0.14,0.08,0.0
0.0,0.0,0.0
0.42,0.12,0.08
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8,0.82,0.16
0.0,0.0,0.0
2.3,1.18,1.72
0.0,0.0,0.0
1.54,1.44,0.8
0.0,0.0,0.0
4.84,3.62,4.48
0.14,0.62,0.0
0.32,0.1,0.16
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
6.08,4.02,5.28
0.64,1.32,0.04
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.06,1.44,1.96
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.04,0.0
1.8,1.06,0.32
0.4,0.16,0.04
0.0,0.0,0.0
0.26,2.8,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.52,1.16,1.64
0.0,0.0,0.0
0.42,3.34,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.06,0.0
1.24,0.76,0.52
0.0,0.0,0.0
0.0,0.0,0.0
3.72,1.62,2.66
0.0,0.0,0.0
0.0,0.0,0.0
3.56,1.8,3.34
1.74,0.72,0.52
0.0,0.08,0.0
0.0,0.0,0.0
0.0,0.0,0.0
3.34,0.74,2.18
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
4.34,2.54,3.84
0.0,0.0,0.0
0.04,0.1,0.0
0.0,0.0,0.0
2.88,0.48,1.48
1.76,0.82,0.62
0.0,0.0,0.0
0.14,0.12,0.04
0.0,0.0,0.0
1.48,1.18,0.54
0.0,0.0,0.0
2.48,1.02,2.24
0.36,0.12,0.0
1.22,1.88,0.58
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.66,1.34,1.24
0.0,0.0,0.0
0.0,0.0,0.0
0.6,0.38,0.04
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.84,0.92,1.02
1.2,1.38,0.22
0.16,0.76,0.0
6.08,4.02,5.28
0.84,0.22,0.06
0.02,0.04,0.0
1.86,1.0,1.4
2.66,1.34,1.24
1.24,0.82,0.74
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.46,0.84,0.14
0.42,0.12,0.08
0.88,0.22,0.12
2.68,1.14,1.14
0.88,0.22,0.12
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.8,0.98,1.32
0.52,0.5,0.06
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.02,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.18,0.88,1.32
0.26,2.34,0.02
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.14,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.46,0.46,0.0
0.0,0.0,0.0
2.22,1.14,0.72
0.12,0.36,0.06
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.8,1.12,1.48
0.0,0.0,0.0
0.14,0.12,0.04
4.74,2.9,4.36
0.0,0.0,0.0
0.0,0.04,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.2,1.38,0.22
1.22,0.68,0.42
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.08,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.6,0.38,0.04
0.08,0.08,0.0
0.0,0.0,0.0
0.64,0.6,0.06
0.0,0.0,0.0
0.48,2.2,0.38
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.28,0.06,0.1
0.0,0.0,0.0
1.86,1.7,1.14
0.0,0.0,0.0
0.18,0.36,0.0
0.0,0.0,0.0
1.34,1.14,0.42
1.48,1.18,0.54
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.04,0.0,0.0
0.66,0.14,0.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.32,1.62,0.9
0.0,0.0,0.0
1.42,1.4,1.16
0.0,0.0,0.0
3.56,1.8,3.34
0.0,0.0,0.0
0.0,0.0,0.0
1.28,1.42,0.6
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.22,1.14,0.72
0.0,0.0,0.0
0.04,0.1,0.0
0.0,0.0,0.0
1.2,1.32,0.6
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.26,2.34,0.02
1.24,1.76,0.72
0.0,0.0,0.0
0.28,0.06,0.1
0.0,0.0,0.0
1.22,1.88,0.58
0.0,0.0,0.0
0.0,0.02,0.0
0.0,0.0,0.0
0.0,0.0,0.0
4.84,3.62,4.48
0.0,0.0,0.0
0.0,0.0,0.0
0.96,1.7,0.48
0.02,0.0,0.0
0.7,0.58,0.3
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.06,1.44,1.96
0.0,0.0,0.0
2.68,1.14,1.14
0.02,0.18,0.0
1.86,1.7,1.14
0.0,0.0,0.0
1.22,0.68,0.42
0.04,0.0,0.0
0.0,0.0,0.0
1.24,0.76,0.52
0.0,0.0,0.0
1.8,1.12,1.48
0.0,0.0,0.0
0.0,0.0,0.0
2.52,1.16,1.64
0.0,0.0,0.0
0.0,0.0,0.0
0.46,0.84,0.14
0.26,0.28,0.08
0.0,0.0,0.0
0.08,0.08,0.0
