x1,x2,x3
0.0,1.0,18.0
0.0,1.0,18.0
0.0,6.4,1.4
0.0,8.0,11.0
1.0,14.0,5.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
0.16,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,1.0,18.0
0.72,0.2,0.72
0.42,8.0,11.0
1.0,14.0,5.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
0.08,13.44,4.88
2.0,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,1.42,0.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
1.0,14.0,5.0
3.0,14.0,5.0
1.04,8.0,11.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,13.72,4.9
0.0,0.0,0.0
0.0,3.52,4.84
0.0,0.0,0.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.24,14.0,5.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,1.0,18.0
1.28,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,8.0,11.0
1.0,14.0,5.0
2.0,14.0,5.0
0.96,14.0,5.0
0.0,0.0,0.0
0.0,1.0,18.0
0.0,0.0,0.0
0.0,1.0,18.0
1.0,14.0,5.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,8.0,11.0
1.1,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,8.0,11.0
2.0,14.0,5.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,8.9,0.0
0.0,0.0,0.0
0.0,1.0,18.0
0.0,0.0,0.0
4.28,3.64,4.28
0.14,2.78,0.14
0.0,1.0,18.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,8.0,11.0
1.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,1.0,18.0
1.12,8.0,11.0
0.0,0.0,0.0
2.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,0.18,0.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,8.0,11.0
2.44,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,0.0,0.0
0.0,1.0,18.0
0.0,8.0,11.0
1.0,14.0,5.0
0.0,14.0,5.0
0.0,14.0,5.0
2.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
1.0,14.0,5.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,0.0,0.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,8.0,11.0
1.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,14.0,5.0
0.72,14.0,5.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,0.0,0.0
0.86,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
5.26,14.0,5.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.36,8.0,11.0
0.0,8.0,11.0
0.84,14.0,5.0
0.0,8.0,11.0
0.54,14.0,5.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,14.0,5.0
1.14,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,0.0,0.0
0.3,8.0,11.0
0.0,14.0,5.0
0.0,14.0,5.0
5.0,14.0,5.0
0.0,14.0,5.0
0.0,0.0,0.0
1.0,14.0,5.0
6.98,14.0,5.0
2.0,3.18,3.98
0.0,1.0,18.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,0.0,0.0
0.0,8.0,11.0
0.0,8.0,11.0
0.86,8.0,11.0
0.0,14.0,5.0
0.0,14.0,5.0
0.3,0.34,0.3
0.0,0.0,0.0
0.0,1.0,18.0
1.0,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,0.32,0.0
0.06,14.0,5.0
0.0,1.46,0.0
0.0,1.0,18.0
0.0,0.28,5.04
0.0,8.0,11.0
0.0,0.0,0.0
0.0,1.0,18.0
0.0,1.0,18.0
1.5,14.0,5.0
0.0,1.0,18.0
1.0,13.44,4.84
3.88,14.0,5.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,14.0,5.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,0.08,0.0
0.0,1.0,18.0
0.0,14.0,5.0
0.0,0.02,0.36
