x1,x2,x3
0.0,1.0,18.0
0.0,1.0,18.0
0.12,9.98,3.26
0.0,4.3,5.72
1.12,3.96,1.98
0.26,14.0,5.0
0.0,1.0,18.0
0.0,1.0,18.0
1.56,8.0,11.0
0.0,0.86,15.48
0.0,0.98,17.64
2.02,10.72,4.24
0.0,1.0,18.0
0.34,5.56,7.4
0.3,3.76,4.82
0.3,14.0,5.0
0.0,6.88,9.46
0.0,8.0,11.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,14.0,5.0
1.26,2.86,1.82
0.54,11.62,4.14
0.0,8.0,11.0
0.0,0.82,14.76
0.0,4.42,5.94
0.0,11.62,4.1
0.0,1.0,18.0
0.0,0.48,8.28
0.0,1.0,18.0
0.0,7.86,10.78
0.06,14.0,5.0
0.8,1.0,0.86
2.08,8.36,3.42
0.24,8.0,11.0
0.0,8.0,11.0
0.0,8.0,11.0
0.0,1.0,18.0
0.0,3.2,1.1
0.0,9.54,3.4
0.0,0.74,12.96
0.0,0.84,15.12
1.22,8.0,11.0
0.3,9.98,3.62
0.0,7.84,10.78
0.0,2.86,2.42
0.0,4.0,5.5
0.0,1.0,18.0
0.0,3.64,1.3
0.06,14.0,5.0
0.0,6.24,8.36
0.0,1.0,18.0
0.0,0.64,11.52
0.5,11.28,4.08
0.02,8.0,11.0
0.22,5.06,6.42
0.0,0.52,9.36
0.88,7.14,2.72
0.0,8.0,11.0
0.0,1.0,18.0
0.02,14.0,5.0
0.0,1.0,18.0
0.0,7.36,10.12
0.18,14.0,5.0
1.64,9.7,3.82
0.66,14.0,5.0
0.0,7.52,10.34
0.0,1.0,18.0
0.0,3.56,1.1
0.0,1.0,18.0
0.06,14.0,5.0
0.0,4.5,6.16
0.0,8.0,11.0
0.0,2.08,2.86
0.76,8.46,3.12
0.0,8.0,11.0
0.0,1.0,18.0
0.1,6.26,2.22
0.0,8.0,11.0
4.08,14.0,5.0
0.0,1.88,0.4
0.0,8.0,11.0
0.66,14.0,5.0
0.0,8.0,11.0
0.06,6.16,2.92
0.0,0.34,6.12
0.0,0.94,16.92
0.12,2.44,2.3
2.0,4.46,2.74
0.78,5.9,1.94
0.0,0.46,8.28
0.0,2.3,0.8
0.0,8.0,11.0
0.0,2.72,3.74
0.52,14.0,5.0
0.0,0.84,14.76
0.0,1.0,18.0
0.0,1.0,18.0
0.0,7.04,9.68
0.0,0.4,5.4
0.3,4.96,6.8
0.0,3.52,4.62
1.14,8.0,11.0
0.0,1.0,18.0
1.58,14.0,5.0
0.0,7.22,9.9
0.48,9.66,3.6
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,8.0,11.0
0.0,5.82,6.16
4.48,14.0,5.0
0.0,8.0,11.0
0.0,0.72,12.96
0.0,1.0,18.0
0.0,0.92,16.56
0.12,8.04,10.34
0.0,0.32,5.76
0.0,9.36,3.3
0.0,1.0,18.0
0.0,4.38,5.94
0.28,12.32,4.38
0.02,14.0,5.0
0.0,3.1,1.0
0.38,14.0,5.0
0.0,0.9,16.2
0.0,1.0,18.0
1.04,6.48,2.62
0.0,8.5,3.0
0.46,14.0,5.0
0.0,1.0,18.0
0.0,0.1,1.8
0.0,0.56,10.08
0.02,8.0,11.0
0.0,8.0,11.0
0.0,2.08,2.86
0.44,12.24,4.38
0.0,0.98,17.64
0.0,1.0,18.0
0.16,14.0,5.0
0.14,12.68,4.54
0.0,7.7,10.56
0.0,8.0,11.0
0.0,0.56,10.08
1.16,13.2,4.78
0.0,7.86,10.78
0.0,0.94,16.92
0.0,1.0,18.0
0.0,0.82,14.76
3.14,13.48,5.02
0.0,1.0,18.0
0.04,5.42,6.82
0.0,0.5,9.0
1.02,12.4,4.56
0.16,4.68,5.14
0.0,8.0,11.0
0.16,7.3,2.46
0.0,8.0,11.0
0.86,6.56,2.36
0.0,8.0,11.0
0.0,14.0,5.0
0.0,13.46,4.8
0.06,7.7,10.58
0.0,1.0,18.0
0.0,0.76,13.68
0.0,0.8,14.4
1.28,10.56,4.0
0.0,14.0,5.0
0.0,0.58,10.44
0.0,11.2,4.0
0.0,3.78,1.3
0.0,1.0,18.0
0.0,1.0,18.0
0.0,0.88,15.84
0.96,6.84,9.36
0.18,13.22,4.7
0.0,13.74,4.9
3.12,13.62,5.06
0.02,12.9,4.6
0.0,9.54,3.4
0.0,14.0,5.0
0.88,3.84,1.8
0.64,4.82,6.5
0.0,1.0,18.0
0.0,7.54,10.34
0.0,1.0,18.0
0.0,7.06,8.8
0.02,14.0,5.0
0.02,8.0,11.0
0.76,13.3,4.76
0.0,8.0,11.0
0.0,0.98,17.64
0.0,5.28,7.26
0.0,6.72,9.24
0.0,8.0,11.0
0.28,6.94,9.06
0.04,13.16,4.7
0.0,14.0,5.0
0.02,4.24,4.4
0.0,1.12,0.4
0.0,1.0,18.0
0.88,14.0,5.0
0.0,7.9,10.56
0.0,0.92,16.56
0.0,0.5,8.64
0.0,1.0,18.0
0.04,3.22,4.0
0.0,4.5,1.6
0.0,0.68,12.24
0.04,3.08,2.24
0.0,12.9,4.6
0.0,10.94,3.9
1.34,12.56,4.58
0.02,4.6,4.4
0.0,0.92,16.56
0.0,0.54,9.72
0.0,8.0,11.0
0.0,0.9,16.2
0.0,1.0,18.0
0.0,1.0,18.0
0.14,14.0,5.0
0.0,1.0,15.84
1.54,6.36,2.88
2.96,13.4,4.98
0.0,0.98,17.64
0.0,6.74,9.24
0.0,5.18,7.04
0.0,2.16,2.86
0.0,1.0,18.0
0.0,14.0,5.0
0.0,1.08,17.64
0.0,6.24,8.58
0.1,13.16,4.7
0.54,6.56,8.68
0.0,1.0,18.0
0.0,1.0,18.0
0.0,1.0,18.0
0.0,7.84,10.78
0.0,1.0,18.0
0.0,10.92,3.9
0.0,7.46,2.6
0.0,4.08,1.4
0.0,0.56,10.08
0.0,8.0,11.0
0.0,13.16,4.7
0.0,8.0,11.0
0.0,8.0,11.0
0.0,4.64,6.38
0.0,1.0,18.0
0.4,4.44,1.7
0.0,1.0,18.0
1.64,8.9,3.84
0.0,0.98,17.64
